cluster_name	selection_frequency_top10	selection_frequency_top25	selection_frequency_top50	selection_frequency_top100	mean_rank	rank_std	residual_contribution_mean	residual_contribution_q025	residual_contribution_q975	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_3416	0.0	0.0	0.0	0.0	129.984	4.4716600944164115	0.005152530747313474	0.004315526756265267	0.005877157536504995	M02	133	0.005170349768371103
cluster_3519	0.0	0.0	0.83	1.0	45.078	6.876039266903566	-0.038851739894825106	-0.05456231432860902	-0.023762130213265197	M01	45	0.03961550093922481
cluster_3660	0.0	0.0	0.406	0.868	66.25	29.327316617788277	-0.026958162262580375	-0.050260444195355115	-0.0021952965843862037	M04	55	0.02673350276848525
cluster_3684	0.0	0.0	0.62	1.0	50.252	4.1502404749603805	0.0328587084438448	0.024945256725452395	0.04512885893262937	M02	47	0.03303168106417983
cluster_3762	0.0	0.0	0.278	0.938	64.474	19.953178293194284	0.02595685729009997	0.009333126827911336	0.04301512220932381	M07	58	0.025479216170542242
cluster_3766	0.0	0.0	0.0	0.75	90.542	17.41459835884824	0.014817439727478019	0.004106805120077119	0.024470119861729586	M14	86	0.014498148323204795
cluster_3928	0.0	0.0	0.038	0.522	101.29	31.40830941009081	-0.010972595726213055	-0.03684187133922711	0.014017519319960904	M01	97	0.012049750118880712
cluster_3967	0.0	0.0	0.0	0.824	93.3	5.671507736043483	0.013629057485514302	0.008928497339948223	0.02019747864948496	M06	88	0.013740044568184008
cluster_3978	0.0	0.0	0.0	0.246	119.63	23.35784878793424	-0.006668929116521758	-0.01628570279452278	0.004887537045513186	M06	127	0.006671996861604103
cluster_4026	0.0	0.812	0.998	1.0	19.606	6.675534735135453	0.08371084794406246	0.04958238543024639	0.11501414970647655	M03	17	0.08347397901705352
cluster_4028	0.0	0.0	0.0	0.0	131.396	5.673375009639835	0.0049109725878552345	0.004077499488627601	0.005843798975414993	M02	134	0.004963971794731108
cluster_4064	0.0	0.0	0.0	0.044	107.954	4.3639298802802085	-0.009741441218260094	-0.013080302513671122	-0.0070578917407233535	M06	108	0.009863487855521524
cluster_4084	0.0	0.0	0.054	0.796	79.51	26.827484041557064	-0.019553892322578686	-0.0353446273584473	-0.002756934809723884	M04	76	0.01955094844231297
cluster_4141	0.976	1.0	1.0	1.0	7.022	1.1736762756399228	-0.13393309982347262	-0.15899135047046467	-0.10616457728286931	M05	7	0.13453149715980126
cluster_4364	0.0	0.0	0.308	0.994	58.674	14.01398315968733	0.028474200988094268	0.011434160069528522	0.05100426540011947	M04	51	0.028761783519538977
cluster_4373	1.0	1.0	1.0	1.0	6.526	1.2795796184685029	-0.13525391362396702	-0.15344231875762088	-0.11354150028049945	M01	6	0.13619483090728782
cluster_4404	0.056	0.996	1.0	1.0	15.542	3.0867840870394536	-0.09598768355006744	-0.12462425702064156	-0.07173299097739366	M01	15	0.09722469353806078
cluster_4420	0.0	0.0	0.0	0.09	120.01	14.714275381411044	0.007799356985382927	0.00085036215553456	0.01703822505266709	M06	118	0.007880065346001176
cluster_4449	0.0	0.0	0.0	1.0	77.756	3.4094668204866774	0.01883360889182915	0.013863266189096828	0.026617349021864543	M13	78	0.018910067452266505
cluster_4532	0.0	0.0	0.03	0.996	62.632	10.135313315334683	0.025129728434991956	0.013128378203481329	0.039429903411431266	M13	57	0.02555737957017126
