cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_1556	M00	48.0	0.0	0.03333333333333333	0.006711622806208278	-0.006711622806208278	0.08728189229411766	-0.3244548544705882	0.1333333333333333	False	True	-1.0
cluster_6143	M08	49.0	0.0	0.8037037037037039	0.0	0.0	-0.664971657	-1.702186716	1.003703703703704	False	True	1.0
cluster_5240	M06	50.0	0.0	0.06444444444444444	0.09217646457670607	-0.09217646457670607	0.3083585112941176	0.05396797147058824	0.0644444444444444	False	False	1.0
cluster_4364	M04	51.0	0.0	0.2263080271735733	0.08434777258181492	-0.08434777258181492	-0.4038656483333333	-0.12843097966666664	0.2969084412522482	False	True	1.0
cluster_950	M03	52.0	0.11904761904761905	0.7858377425044089	0.7325013335717361	-0.613453714524117	-0.10241533300000001	-0.19846392350000003	0.8068334135000799	False	True	-1.0
cluster_1523	M06	53.0	0.42857142857142855	0.04896790610184544	0.027737775839290442	0.4008336527321381	0.11561099712903225	-0.2456785788064516	-0.7387049830245319	True	False	1.0
cluster_4907	M08	54.0	0.23214285714285715	0.4320658141347797	0.4181720239460254	-0.18602916680316822			0.18829292036188588	False	False	1.0
cluster_3660	M04	55.0	0.0	0.15838624338624338	0.006281051928011747	-0.006281051928011747	0.48492230299999994	0.1693516439999998	0.1583862433862433	False	False	-1.0
cluster_5064	M07	56.0	0.0	0.08095989159112083	0.01667872945821206	-0.01667872945821206	-0.3087862028461539	-0.5589559879230769	0.10913326620412388	False	True	-1.0
cluster_4532	M13	57.0	1.0	0.05542087542087543	0.01260607581739683	0.9873939241826032	0.10158976730769234	-0.29111107007692305	-1.6445791245791246	True	False	1.0
cluster_3762	M07	58.0	0.7	0.10224867724867727	0.08696430348645258	0.6130356965135474	1.187335796	0.5178056259999999	-1.2358465608465607	True	False	1.0
cluster_6518	M04	59.0	0.5	0.13150960895213767	0.08424958853433558	0.41575041146566444	0.19087516559999998	-0.5190261209333333	-0.7565856291431006	True	False	1.0
cluster_1715	M06	60.0	0.0	0.026469997001911896	0.008961899352392359	-0.008961899352392359	0.6139499775999999	0.11239776379999997	0.07217759934109301	False	True	-1.0
cluster_7425	M01	61.0	0.7247474747474747	0.8268384326355341	0.40514796500223377	0.31959950974524093	0.33573697	0.7948546949999999	-0.2361700303729288	False	False	1.0
