sample_id	stage	stage_order	tau	A	P	Hm	Hr	n_age_regions_used	n_observed_regions	observed_region_fraction
GSM2481631	8-cell	4	0.6666666666666666	0.4990287767962434	1.0	0.319062271634388	0.236677099959947	101	101	0.6474358974358975
GSM2481632	8-cell	4	0.6666666666666666	0.397414785973966	1.0	0.2730980760154839	0.236677099959947	89	89	0.5705128205128205
GSM2481633	8-cell	4	0.6666666666666666	0.4403634246719825	1.0	0.3411417523207073	0.236677099959947	100	100	0.6410256410256411
GSM2481634	8-cell	4	0.6666666666666666	0.5109674187943082	1.0	0.3250427671809312	0.236677099959947	104	104	0.6666666666666666
GSM2481635	8-cell	4	0.6666666666666666	0.3990658118100397	1.0	0.225841521532688	0.236677099959947	76	76	0.48717948717948717
GSM2481636	8-cell	4	0.6666666666666666	0.5120748339296367	1.0	0.2290001352155846	0.236677099959947	80	80	0.5128205128205128
GSM2481637	8-cell	4	0.6666666666666666	0.5990963211718985	1.0	0.2208602325976682	0.236677099959947	79	79	0.5064102564102564
GSM2481638	8-cell	4	0.6666666666666666	0.5431544080084243	1.0	0.2883938277362753	0.236677099959947	91	91	0.5833333333333334
GSM2481639	8-cell	4	0.6666666666666666	0.4902012800184069	1.0	0.1878494268745751	0.236677099959947	70	70	0.44871794871794873
GSM2481640	8-cell	4	0.6666666666666666	0.5715681216561038	1.0	0.3283024344733004	0.236677099959947	92	92	0.5897435897435898
GSM2481641	8-cell	4	0.6666666666666666	0.4887579241421119	1.0	0.3411976638349261	0.236677099959947	104	104	0.6666666666666666
GSM2481642	8-cell	4	0.6666666666666666	0.4822627599254208	1.0	0.2967400712973798	0.236677099959947	90	90	0.5769230769230769
GSM2481643	8-cell	4	0.6666666666666666	0.5162640619569578	1.0	0.2513916873872341	0.236677099959947	96	96	0.6153846153846154
GSM2986368	8-cell	4	0.6666666666666666	0.5293480757974359	1.0	0.3492539065839713	0.236677099959947	88	88	0.5641025641025641
GSM2986369	8-cell	4	0.6666666666666666	0.546028947861116	1.0	0.4412613757000745	0.236677099959947	103	103	0.6602564102564102
GSM2986370	8-cell	4	0.6666666666666666	0.4688068375092653	1.0	0.3814415553507368	0.236677099959947	123	123	0.7884615384615384
GSM2986371	8-cell	4	0.6666666666666666	0.6370563764632	1.0	0.4557489658498195	0.236677099959947	111	111	0.7115384615384616
GSM2986372	8-cell	4	0.6666666666666666	0.3906433664224942	1.0	0.4476972914094006	0.236677099959947	125	125	0.8012820512820513
GSM2986373	8-cell	4	0.6666666666666666	0.3274668635020409	1.0	0.2147302890516194	0.236677099959947	85	85	0.5448717948717948
GSM2986374	8-cell	4	0.6666666666666666	0.51359044901543	1.0	0.3437143434047256	0.236677099959947	98	98	0.6282051282051282
GSM2986375	8-cell	4	0.6666666666666666	0.4636935151552786	1.0	0.2103145398830778	0.236677099959947	88	88	0.5641025641025641
GSM2986376	8-cell	4	0.6666666666666666	0.541242169223282	1.0	0.0207701577904501	0.236677099959947	25	25	0.16025641025641027
GSM2986377	8-cell	4	0.6666666666666666	0.4166776033068222	1.0	0.0644808152435372	0.236677099959947	42	42	0.2692307692307692
GSM2986378	8-cell	4	0.6666666666666666	0.2730354214033543	1.0	0.0693744712227906	0.236677099959947	30	30	0.19230769230769232
GSM2986379	8-cell	4	0.6666666666666666	0.7496846499076497	1.0	0.0566210796892917	0.236677099959947	41	41	0.26282051282051283
GSM2986381	8-cell	4	0.6666666666666666	0.3222648388959786	1.0	0.0052832563903218	0.236677099959947	22	22	0.14102564102564102
GSM2986382	8-cell	4	0.6666666666666666	0.582936320325133	1.0	0.4229847889065473	0.236677099959947	104	104	0.6666666666666666
GSM2986383	8-cell	4	0.6666666666666666	0.5815953577996053	1.0	0.4548901848146299	0.236677099959947	102	102	0.6538461538461539
GSM2986384	8-cell	4	0.6666666666666666	0.0	1.0	0.0848800606170415	0.236677099959947	3	3	0.019230769230769232
GSM2986385	8-cell	4	0.6666666666666666	0.0	1.0	0.0227868080400293	0.236677099959947	8	8	0.05128205128205128
GSM2986386	8-cell	4	0.6666666666666666	0.5958980454735453	1.0	0.0460829545988217	0.236677099959947	3	3	0.019230769230769232
GSM2986388	8-cell	4	0.6666666666666666	0.9987188525905356	1.0	0.0051383612397719	0.236677099959947	3	3	0.019230769230769232
GSM2986389	8-cell	4	0.6666666666666666	0.0	1.0	0.0132598185103957	0.236677099959947	4	4	0.02564102564102564
GSM2481644	morula	5	0.8333333333333334	0.1480262854642077	0.8974013993086855	0.0287855542909889	0.0	11	11	0.07051282051282051
GSM2481645	morula	5	0.8333333333333334	0.3392280569062063	0.8974013993086855	0.0343503458973287	0.0	23	23	0.14743589743589744
GSM2481646	morula	5	0.8333333333333334	0.1705970373968044	0.8974013993086855	0.0475898745204402	0.0	28	28	0.1794871794871795
GSM2481647	morula	5	0.8333333333333334	0.0462640098940833	0.8974013993086855	0.0358231362211037	0.0	27	27	0.17307692307692307
GSM2481648	morula	5	0.8333333333333334	0.1266065231351624	0.8974013993086855	0.037547929897018	0.0	29	29	0.1858974358974359
GSM2481649	morula	5	0.8333333333333334	0.1040121226299618	0.8974013993086855	0.0327025751252385	0.0	21	21	0.1346153846153846
GSM2481650	morula	5	0.8333333333333334	0.4205148611203482	0.8974013993086855	0.3398072852751556	0.0	80	80	0.5128205128205128
GSM2481651	morula	5	0.8333333333333334	0.5593252568455241	0.8974013993086855	0.3571285668306477	0.0	92	92	0.5897435897435898
GSM2481592	blastocyst	6	1.0	0.6249222179483804	0.0	0.9322768098995668	0.242906040437097	124	124	0.7948717948717948
GSM2481593	blastocyst	6	1.0	0.5760186440790745	0.0	0.866992719975387	0.242906040437097	139	139	0.8910256410256411
GSM2481594	blastocyst	6	1.0	0.6399710128123778	0.0	0.8608127770321703	0.242906040437097	140	140	0.8974358974358975
GSM2481595	blastocyst	6	1.0	0.7094409495572689	0.0	0.9282905820884751	0.242906040437097	134	134	0.8589743589743589
GSM2986409	blastocyst	6	1.0	0.6249222179483804	0.0	0.9322768098995668	0.242906040437097	124	124	0.7948717948717948
