stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_23	-0.023801903	275.0	582.0	0.4725085910652921	12
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6020	-0.038638364	3.0	3.0	1.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6410	-0.021018304	56.0	139.0	0.4028776978417266	6
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_1742	0.010894564	4.0	4.0	1.0	3
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6655	0.116026458	251.0	706.0	0.3555240793201133	22
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3967	-0.027666536	5.0	8.0	0.625	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4605	0.049177448	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5002	0.073881417	668.0	1004.0	0.6653386454183267	31
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_2832	-0.020554218	94.0	399.0	0.23558897243107768	21
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5400	-0.013997351	3.0	58.0	0.05172413793103448	7
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6114	0.03469714	4.0	4.0	1.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6275	-0.032421038	14.0	31.0	0.45161290322580644	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_7612	0.043674447	111.0	132.0	0.8409090909090909	46
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_950	0.033547863	129.0	140.0	0.9214285714285714	11
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4449	0.013610554	4.0	4.0	1.0	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_386	0.028296419	5.0	7.0	0.7142857142857143	5
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3766	-0.026841848	7.0	7.0	1.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4889	-0.019214397	18.0	35.0	0.5142857142857142	9
MII oocyte	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz	cluster_3123	0.029691182	10.0	10.0	1.0	2
MII oocyte	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz	cluster_3519	0.033654647	86.0	101.0	0.8514851485148515	15
MII oocyte	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz	cluster_3133	-0.018315712	33.0	53.0	0.6226415094339622	3
MII oocyte	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz	cluster_3762	-0.027459185	39.0	107.0	0.3644859813084112	3
MII oocyte	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz	cluster_6262	-0.037492605	10.0	10.0	1.0	1
MII oocyte	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz	cluster_643	0.045617076	0.0	11.0	0.0	10
