geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948423	CTB1_RRBS	CTB	1	cluster_4889	84	-0.0150375801511645	M01	46.0	51.0	0.9019607843137255
GSM2948423	CTB1_RRBS	CTB	1	cluster_5516	85	0.0145793093893729	M07	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3766	86	0.0144981483232047	M14	1.0	4.0	0.25
GSM2948423	CTB1_RRBS	CTB	1	cluster_5599	87	0.014392782084662	M06	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3967	88	0.013740044568184	M06	0.0	2.0	0.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_4897	89	-0.0136649263686845	M06	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_126	90	-0.0135635274944179	M06	5.0	13.0	0.38461538461538464
GSM2948423	CTB1_RRBS	CTB	1	cluster_1126	91	-0.0135334574224416	M00	1.0	1.0	1.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_5760	92	0.0134841343385623	M06	27.0	32.0	0.84375
GSM2948423	CTB1_RRBS	CTB	1	cluster_6442	93	-0.0131981346851816	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1007	94	0.0125476901199886	M00	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_618	95	0.0124576729934927	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4538	96	-0.0121196315524591	M01	0.0	0.0	
